so_id,so_line_id,customer_id,product_id,warehouse_id,order_date,requested_delivery_date,promised_delivery_date,actual_ship_date,actual_delivery_date,qty_ordered,qty_shipped,qty_backordered,unit_price,revenue,status
SO-2689,1,CUST-0710,HF-2540,WH-WEST,2025-08-20,2025-09-03,2025-09-04,2025-09-04,2025-09-04,5,5,0,237.0,1185.0,delivered
SO-2690,1,CUST-0128,EC-1610,WH-EAST,2025-08-25,2025-08-28,2025-08-28,2025-08-27,2025-08-28,10,10,0,19.0,190.0,delivered
SO-2691,1,CUST-0455,EC-1847,WH-WEST,2025-09-04,2025-09-14,2025-09-15,2025-09-14,2025-09-15,10,10,0,142.0,1420.0,delivered
SO-2692,1,CUST-0183,HF-1125,WH-SOUTH,2025-09-10,2025-09-13,2025-09-13,2025-09-11,2025-09-14,50,50,0,37.0,1850.0,delivered
SO-2693,1,CUST-0038,EC-2680,WH-EAST,2025-08-22,2025-08-31,2025-09-02,2025-08-31,2025-09-02,25,25,0,75.0,1875.0,delivered
SO-2694,1,CUST-0730,SE-2215,WH-EAST,2025-09-04,2025-09-11,2025-09-12,2025-09-10,2025-09-12,25,25,0,11.5,287.5,delivered
SO-2695,1,CUST-0200,EC-1847,WH-SOUTH,2025-08-19,2025-08-30,2025-08-30,2025-08-30,2025-08-30,100,100,0,142.0,14200.0,delivered
SO-2696,1,CUST-0102,SE-2540,WH-WEST,2025-08-25,2025-09-04,2025-09-04,2025-09-02,2025-09-03,25,25,0,533.0,13325.0,delivered
SO-2697,1,CUST-0128,PB-4890,WH-CENTRAL,2025-08-28,2025-09-08,2025-09-08,2025-09-06,2025-09-08,25,25,0,45.0,1125.0,delivered
SO-2698,1,CUST-0455,EC-3517,WH-CENTRAL,2025-08-25,2025-09-07,2025-09-08,2025-09-06,2025-09-09,10,10,0,73.0,730.0,delivered
SO-2699,1,CUST-0183,EC-1205,WH-WEST,2025-09-03,2025-09-06,2025-09-08,2025-09-06,2025-09-08,5,5,0,48.0,240.0,delivered
SO-2700,1,CUST-0410,HF-1230,WH-EAST,2025-09-03,2025-09-09,2025-09-11,2025-09-09,2025-09-11,10,10,0,475.0,4750.0,delivered
SO-2701,1,CUST-0134,PB-5430,WH-WEST,2025-09-03,2025-09-13,2025-09-15,2025-09-13,2025-09-15,100,100,0,409.0,40900.0,delivered
SO-2702,1,CUST-0012,SE-2430,WH-WEST,2025-09-03,2025-09-07,2025-09-07,2025-09-04,2025-09-06,5,5,0,121.0,605.0,delivered
SO-2703,1,CUST-0155,PB-6195,WH-WEST,2025-08-20,2025-08-26,2025-08-26,2025-08-25,2025-08-26,25,25,0,20.0,500.0,delivered
SO-2704,1,CUST-0128,SE-2430,WH-CENTRAL,2025-08-25,2025-09-08,2025-09-08,2025-09-05,2025-09-07,50,50,0,121.0,6050.0,delivered
SO-2705,1,CUST-0089,SE-1010,WH-SOUTH,2025-08-21,2025-09-04,2025-09-05,2025-09-04,2025-09-05,10,10,0,54.0,540.0,delivered
SO-2706,1,CUST-0128,HF-1230,WH-SOUTH,2025-09-08,2025-09-20,2025-09-22,2025-09-19,2025-09-21,25,25,0,475.0,11875.0,delivered
SO-2707,1,CUST-0155,EC-2380,WH-SOUTH,2025-08-15,2025-08-22,2025-08-22,2025-08-21,2025-08-21,25,25,0,87.0,2175.0,delivered
SO-2708,1,CUST-0012,PB-5430,WH-CENTRAL,2025-08-14,2025-08-27,2025-08-29,2025-08-27,2025-08-29,10,10,0,409.0,4090.0,delivered
SO-2709,1,CUST-0320,HF-2980,WH-CENTRAL,2025-08-27,2025-09-04,2025-09-04,2025-09-03,2025-09-04,25,25,0,4.7,117.5,delivered
SO-2710,1,CUST-0440,IF-9090,WH-CENTRAL,2025-09-10,2025-09-20,2025-09-22,2025-09-21,2025-09-22,50,50,0,7.0,350.0,delivered
SO-2711,1,CUST-0067,PB-5540,WH-WEST,2025-08-28,2025-09-06,2025-09-08,2025-09-07,2025-09-08,25,25,0,5.7,142.5,delivered
SO-2712,1,CUST-0025,IF-8100,WH-SOUTH,2025-08-25,2025-09-05,2025-09-06,2025-09-03,2025-09-06,10,10,0,16.5,165.0,delivered
SO-2713,1,CUST-0089,IF-9460,WH-SOUTH,2025-09-11,2025-09-19,2025-09-20,2025-09-17,2025-09-20,5,5,0,12.0,60.0,delivered
SO-2714,1,CUST-0305,HF-2320,WH-EAST,2025-09-03,2025-09-13,2025-09-15,2025-09-12,2025-09-15,50,50,0,32.0,1600.0,delivered
SO-2715,1,CUST-0168,HF-1675,WH-CENTRAL,2025-09-10,2025-09-21,2025-09-21,2025-09-20,2025-09-21,25,25,0,48.0,1200.0,delivered
SO-2716,1,CUST-0056,IF-7455,WH-WEST,2025-09-09,2025-09-20,2025-09-20,2025-09-17,2025-09-19,5,5,0,31.0,155.0,delivered
SO-2717,1,CUST-0183,PB-6460,WH-EAST,2025-08-14,2025-08-28,2025-08-28,2025-08-26,2025-08-27,5,5,0,6.5,32.5,delivered
SO-2718,1,CUST-0350,PB-4010,WH-EAST,2025-08-29,2025-09-08,2025-09-08,2025-09-06,2025-09-09,25,25,0,31.0,775.0,delivered
SO-2719,1,CUST-0275,HF-2980,WH-EAST,2025-09-01,2025-09-11,2025-09-12,2025-09-12,2025-09-12,100,100,0,4.7,470.0,delivered
SO-2720,1,CUST-0260,SE-2100,WH-SOUTH,2025-08-14,2025-08-25,2025-08-25,2025-08-23,2025-08-25,10,10,0,16.0,160.0,delivered
SO-2721,1,CUST-0128,PB-4560,WH-CENTRAL,2025-08-20,2025-08-23,2025-08-25,2025-08-24,2025-08-25,25,25,0,20.0,500.0,delivered
SO-2722,1,CUST-0275,PB-5980,WH-SOUTH,2025-09-08,2025-09-15,2025-09-16,2025-09-14,2025-09-16,5,5,0,26.5,132.5,delivered
SO-2723,1,CUST-0320,IF-8430,WH-SOUTH,2025-08-15,2025-08-19,2025-08-19,2025-08-18,2025-08-19,50,50,0,8.0,400.0,delivered
SO-2724,1,CUST-0155,EC-1580,WH-WEST,2025-09-09,2025-09-14,2025-09-16,2025-09-15,2025-09-16,50,50,0,37.0,1850.0,delivered
SO-2725,1,CUST-0155,EC-2380,WH-WEST,2025-08-25,2025-09-04,2025-09-04,2025-09-02,2025-09-05,25,25,0,87.0,2175.0,delivered
SO-2726,1,CUST-0171,SE-1125,WH-CENTRAL,2025-08-14,2025-08-25,2025-08-26,2025-08-23,2025-08-27,100,100,0,14.5,1450.0,delivered
SO-2727,1,CUST-0067,HF-2430,WH-WEST,2025-08-26,2025-08-31,2025-08-31,2025-08-29,2025-08-30,10,10,0,114.0,1140.0,delivered
SO-2728,1,CUST-0134,SE-2320,WH-WEST,2025-08-21,2025-09-04,2025-09-04,2025-09-04,2025-09-03,10,10,0,142.0,1420.0,delivered
SO-2729,1,CUST-0350,IF-8215,WH-SOUTH,2025-09-09,2025-09-17,2025-09-18,2025-09-15,2025-09-17,50,50,0,19.0,950.0,delivered
SO-2730,1,CUST-0183,HF-1455,WH-CENTRAL,2025-08-22,2025-09-04,2025-09-06,2025-09-05,2025-09-06,5,5,0,24.0,120.0,delivered
SO-2731,1,CUST-0660,PB-5980,WH-SOUTH,2025-08-22,2025-09-05,2025-09-06,2025-09-05,2025-09-06,50,50,0,26.5,1325.0,delivered
SO-2732,1,CUST-0365,IF-8650,WH-EAST,2025-09-09,2025-09-20,2025-09-21,2025-09-18,2025-09-21,25,25,0,13.0,325.0,delivered
SO-2733,1,CUST-0012,EC-1835,WH-WEST,2025-08-27,2025-08-31,2025-08-31,2025-08-28,2025-08-31,10,10,0,11.5,115.0,delivered
SO-2734,1,CUST-0155,SE-1675,WH-EAST,2025-08-22,2025-08-27,2025-08-27,2025-08-25,2025-08-26,50,50,0,48.0,2400.0,delivered
SO-2735,1,CUST-0700,HF-1340,WH-EAST,2025-09-12,2025-09-17,2025-09-17,2025-09-16,2025-09-16,50,50,0,14.5,725.0,delivered
SO-2736,1,CUST-0710,IF-8980,WH-WEST,2025-09-11,2025-09-18,2025-09-18,2025-09-17,2025-09-18,10,10,0,9.5,95.0,delivered
SO-2737,1,CUST-0025,EC-1835,WH-WEST,2025-09-09,2025-09-14,2025-09-14,2025-09-14,2025-09-14,10,10,0,11.5,115.0,delivered
SO-2738,1,CUST-0290,EC-3517,WH-CENTRAL,2025-08-19,2025-09-01,2025-09-02,2025-08-30,2025-09-01,25,25,0,73.0,1825.0,delivered
SO-2739,1,CUST-0410,PB-5870,WH-WEST,2025-09-04,2025-09-10,2025-09-12,2025-09-12,2025-09-12,10,10,0,71.0,710.0,delivered
SO-2740,1,CUST-0056,EC-1102,WH-WEST,2025-08-21,2025-08-26,2025-08-28,2025-08-27,2025-08-28,25,25,0,21.0,525.0,delivered
SO-2741,1,CUST-0640,SE-2870,WH-WEST,2025-09-09,2025-09-12,2025-09-13,2025-09-13,2025-09-12,100,100,0,70.0,7000.0,delivered
SO-2742,1,CUST-0730,PB-6090,WH-CENTRAL,2025-08-25,2025-09-01,2025-09-03,2025-09-01,2025-09-02,25,25,0,97.0,2425.0,delivered
SO-2743,1,CUST-0455,EC-1610,WH-SOUTH,2025-09-11,2025-09-15,2025-09-15,2025-09-15,2025-09-15,5,5,0,19.0,95.0,delivered
SO-2744,1,CUST-0056,PB-4010,WH-CENTRAL,2025-09-01,2025-09-05,2025-09-07,2025-09-07,2025-09-07,10,10,0,31.0,310.0,delivered
SO-2745,1,CUST-0056,SE-2215,WH-WEST,2025-09-11,2025-09-21,2025-09-21,2025-09-19,2025-09-21,10,10,0,11.5,115.0,delivered
SO-2746,1,CUST-0320,EC-2680,WH-SOUTH,2025-08-18,2025-08-25,2025-08-25,2025-08-22,2025-08-25,25,25,0,75.0,1875.0,delivered
SO-2747,1,CUST-0395,SE-1230,WH-EAST,2025-08-26,2025-08-29,2025-08-30,2025-08-28,2025-08-30,5,5,0,209.0,1045.0,delivered
SO-2748,1,CUST-0200,IF-9090,WH-CENTRAL,2025-08-19,2025-08-25,2025-08-27,2025-08-26,2025-08-27,25,25,0,7.0,175.0,delivered
SO-2749,1,CUST-0155,EC-3004,WH-EAST,2025-08-15,2025-08-18,2025-08-20,2025-08-18,2025-08-21,10,10,0,209.0,2090.0,delivered
SO-2750,1,CUST-0041,PB-4890,WH-CENTRAL,2025-09-08,2025-09-20,2025-09-20,2025-09-17,2025-09-20,25,25,0,45.0,1125.0,delivered
SO-2751,1,CUST-0230,PB-5650,WH-WEST,2025-08-20,2025-09-01,2025-09-03,2025-09-03,2025-09-04,50,50,0,8.0,400.0,delivered
SO-2752,1,CUST-0038,EC-1455,WH-WEST,2025-09-10,2025-09-19,2025-09-21,2025-09-21,2025-09-22,50,50,0,26.0,1300.0,delivered
SO-2753,1,CUST-0012,EC-2275,WH-CENTRAL,2025-08-15,2025-08-18,2025-08-18,2025-08-17,2025-08-17,25,25,0,41.0,1025.0,delivered
SO-2754,1,CUST-0168,PB-5980,WH-CENTRAL,2025-08-18,2025-08-30,2025-08-30,2025-08-29,2025-08-30,10,10,0,26.5,265.0,delivered
SO-2755,1,CUST-0380,EC-1940,WH-WEST,2025-09-03,2025-09-06,2025-09-06,2025-09-06,2025-09-06,10,10,0,32.0,320.0,delivered
SO-2756,1,CUST-0067,SE-1010,WH-SOUTH,2025-09-01,2025-09-05,2025-09-07,2025-09-04,2025-09-07,100,100,0,54.0,5400.0,delivered
SO-2757,1,CUST-0410,SE-2650,WH-EAST,2025-08-18,2025-08-28,2025-08-28,2025-08-25,2025-08-28,25,25,0,325.0,8125.0,delivered
SO-2758,1,CUST-0275,EC-1940,WH-SOUTH,2025-08-20,2025-09-03,2025-09-03,2025-09-02,2025-09-03,25,25,0,32.0,800.0,delivered
SO-2759,1,CUST-0230,IF-7455,WH-WEST,2025-08-15,2025-08-23,2025-08-23,2025-08-21,2025-08-24,10,10,0,31.0,310.0,delivered
SO-2760,1,CUST-0168,PB-6280,WH-EAST,2025-08-20,2025-09-01,2025-09-01,2025-08-31,2025-09-01,10,10,0,24.0,240.0,delivered
SO-2761,1,CUST-0720,HF-3195,WH-CENTRAL,2025-09-03,2025-09-13,2025-09-13,2025-09-13,2025-09-13,50,50,0,52.0,2600.0,delivered
SO-2762,1,CUST-0147,IF-7675,WH-EAST,2025-09-12,2025-09-25,2025-09-27,2025-09-27,2025-09-27,100,100,0,14.0,1400.0,delivered
SO-2763,1,CUST-0365,HF-1125,WH-EAST,2025-09-10,2025-09-18,2025-09-19,2025-09-16,2025-09-19,10,10,0,37.0,370.0,delivered
SO-2764,1,CUST-0056,SE-1995,WH-EAST,2025-09-11,2025-09-14,2025-09-14,2025-09-11,2025-09-14,50,50,0,76.0,3800.0,delivered
SO-2765,1,CUST-0365,SE-3280,WH-WEST,2025-08-14,2025-08-24,2025-08-24,2025-08-23,2025-08-24,25,25,0,58.0,1450.0,delivered
SO-2766,1,CUST-0230,SE-2870,WH-EAST,2025-09-12,2025-09-21,2025-09-23,2025-09-21,2025-09-23,25,25,0,70.0,1750.0,delivered
SO-2767,1,CUST-0230,IF-8650,WH-WEST,2025-09-08,2025-09-11,2025-09-12,2025-09-09,2025-09-12,25,25,0,13.0,325.0,delivered
SO-2768,1,CUST-0380,IF-7560,WH-EAST,2025-08-22,2025-08-28,2025-08-30,2025-08-29,2025-08-29,10,10,0,36.0,360.0,delivered
SO-2769,1,CUST-0147,IF-8870,WH-EAST,2025-08-26,2025-09-02,2025-09-02,2025-08-31,2025-09-03,10,10,0,6.0,60.0,delivered
SO-2770,1,CUST-0041,PB-4560,WH-WEST,2025-08-28,2025-09-03,2025-09-03,2025-09-03,2025-09-04,5,5,0,20.0,100.0,delivered
SO-2771,1,CUST-0680,PB-5320,WH-SOUTH,2025-09-05,2025-09-17,2025-09-19,2025-09-19,2025-09-19,5,5,0,23.0,115.0,delivered
SO-2772,1,CUST-0275,PB-5100,WH-CENTRAL,2025-08-15,2025-08-19,2025-08-20,2025-08-19,2025-08-19,25,25,0,27.0,675.0,delivered
SO-2773,1,CUST-0041,EC-3517,WH-CENTRAL,2025-09-01,2025-09-06,2025-09-06,2025-09-04,2025-09-06,50,50,0,73.0,3650.0,delivered
SO-2774,1,CUST-0147,EC-2490,WH-SOUTH,2025-08-14,2025-08-17,2025-08-17,2025-08-17,2025-08-17,5,5,0,65.0,325.0,delivered
SO-2775,1,CUST-0067,HF-1340,WH-WEST,2025-08-27,2025-08-30,2025-09-01,2025-08-31,2025-09-01,5,5,0,14.5,72.5,delivered
SO-2776,1,CUST-0630,PB-6195,WH-EAST,2025-08-22,2025-09-02,2025-09-02,2025-08-30,2025-09-03,100,100,0,20.0,2000.0,delivered
SO-2777,1,CUST-0365,EC-1455,WH-SOUTH,2025-08-27,2025-09-05,2025-09-05,2025-09-04,2025-09-05,25,25,0,26.0,650.0,delivered
SO-2778,1,CUST-0056,PB-6280,WH-WEST,2025-08-20,2025-08-31,2025-09-01,2025-08-29,2025-09-02,100,100,0,24.0,2400.0,delivered
SO-2779,1,CUST-0275,IF-8540,WH-CENTRAL,2025-09-09,2025-09-23,2025-09-23,2025-09-23,2025-09-24,50,50,0,26.0,1300.0,delivered
SO-2780,1,CUST-0025,HF-1455,WH-EAST,2025-09-05,2025-09-13,2025-09-13,2025-09-13,2025-09-13,50,50,0,24.0,1200.0,delivered
SO-2781,1,CUST-0350,SE-1560,WH-WEST,2025-09-03,2025-09-15,2025-09-16,2025-09-14,2025-09-15,10,10,0,19.0,190.0,delivered
SO-2782,1,CUST-0056,IF-7010,WH-SOUTH,2025-09-10,2025-09-23,2025-09-25,2025-09-24,2025-09-25,10,10,0,54.0,540.0,delivered
SO-2783,1,CUST-0168,IF-8430,WH-WEST,2025-09-11,2025-09-19,2025-09-19,2025-09-18,2025-09-19,25,25,0,8.0,200.0,delivered
SO-2784,1,CUST-0530,SE-1340,WH-EAST,2025-08-20,2025-08-30,2025-09-01,2025-08-30,2025-09-01,25,25,0,24.0,600.0,delivered
SO-2785,1,CUST-0380,PB-5215,WH-SOUTH,2025-08-22,2025-08-25,2025-08-25,2025-08-22,2025-08-24,5,5,0,14.5,72.5,delivered
SO-2786,1,CUST-0305,EC-1580,WH-EAST,2025-09-10,2025-09-21,2025-09-23,2025-09-20,2025-09-24,100,100,0,37.0,3700.0,delivered
SO-2787,1,CUST-0510,SE-3370,WH-CENTRAL,2025-08-20,2025-09-02,2025-09-02,2025-09-01,2025-09-02,25,25,0,18.0,450.0,delivered
SO-2788,1,CUST-0425,SE-2870,WH-WEST,2025-09-08,2025-09-11,2025-09-11,2025-09-09,2025-09-12,10,10,0,70.0,700.0,delivered
SO-2789,1,CUST-0056,EC-2380,WH-EAST,2025-08-14,2025-08-20,2025-08-22,2025-08-20,2025-08-22,5,5,0,87.0,435.0,delivered
SO-2790,1,CUST-0660,HF-2760,WH-EAST,2025-08-28,2025-09-02,2025-09-02,2025-08-30,2025-09-02,25,25,0,164.0,4100.0,delivered
SO-2791,1,CUST-0440,IF-8320,WH-SOUTH,2025-09-10,2025-09-18,2025-09-18,2025-09-16,2025-09-17,5,5,0,11.0,55.0,delivered
SO-2792,1,CUST-0200,SE-3370,WH-EAST,2025-08-27,2025-08-31,2025-09-02,2025-09-01,2025-09-02,10,10,0,18.0,180.0,delivered
SO-2793,1,CUST-0275,SE-3090,WH-CENTRAL,2025-08-27,2025-09-03,2025-09-04,2025-09-04,2025-09-04,5,5,0,26.0,130.0,delivered
SO-2794,1,CUST-0183,PB-5430,WH-SOUTH,2025-09-12,2025-09-21,2025-09-22,2025-09-19,2025-09-22,25,25,0,409.0,10225.0,delivered
SO-2795,1,CUST-0067,HF-1675,WH-SOUTH,2025-09-03,2025-09-15,2025-09-17,2025-09-14,2025-09-17,5,5,0,48.0,240.0,delivered
SO-2796,1,CUST-0073,EC-1720,WH-EAST,2025-09-02,2025-09-11,2025-09-13,2025-09-13,2025-09-13,25,25,0,5.5,137.5,delivered
SO-2797,1,CUST-0425,EC-2275,WH-SOUTH,2025-08-27,2025-08-30,2025-08-30,2025-08-29,2025-08-30,50,50,0,41.0,2050.0,delivered
SO-2798,1,CUST-0155,SE-1125,WH-CENTRAL,2025-08-14,2025-08-27,2025-08-27,2025-08-27,2025-08-27,50,50,0,14.5,725.0,delivered
SO-2799,1,CUST-0690,SE-2650,WH-CENTRAL,2025-09-04,2025-09-18,2025-09-19,2025-09-17,2025-09-19,10,10,0,325.0,3250.0,delivered
SO-2800,1,CUST-0320,EC-1940,WH-WEST,2025-09-05,2025-09-12,2025-09-12,2025-09-09,2025-09-11,50,50,0,32.0,1600.0,delivered
SO-2801,1,CUST-0168,HF-3370,WH-SOUTH,2025-09-08,2025-09-11,2025-09-13,2025-09-13,2025-09-13,25,25,0,44.0,1100.0,delivered
SO-2802,1,CUST-0134,SE-1455,WH-CENTRAL,2025-08-28,2025-09-02,2025-09-03,2025-09-03,2025-09-03,100,100,0,31.0,3100.0,delivered
SO-2803,1,CUST-0650,IF-9460,WH-SOUTH,2025-08-22,2025-09-04,2025-09-05,2025-09-03,2025-09-04,5,5,0,12.0,60.0,delivered
SO-2804,1,CUST-0115,PB-5760,WH-WEST,2025-09-11,2025-09-14,2025-09-14,2025-09-13,2025-09-14,25,25,0,225.0,5625.0,delivered
SO-2805,1,CUST-0073,SE-1560,WH-CENTRAL,2025-08-19,2025-08-24,2025-08-24,2025-08-22,2025-08-24,100,100,0,19.0,1900.0,delivered
SO-2806,1,CUST-0025,IF-7995,WH-EAST,2025-08-18,2025-08-26,2025-08-26,2025-08-23,2025-08-26,50,50,0,24.0,1200.0,delivered
SO-2807,1,CUST-0089,EC-1847,WH-WEST,2025-08-15,2025-08-27,2025-08-27,2025-08-26,2025-08-26,25,25,0,142.0,3550.0,delivered
SO-2808,1,CUST-0570,IF-8540,WH-CENTRAL,2025-09-11,2025-09-17,2025-09-17,2025-09-17,2025-09-17,25,25,0,26.0,650.0,delivered
SO-2809,1,CUST-0073,IF-7780,WH-EAST,2025-08-21,2025-08-29,2025-08-31,2025-08-28,2025-09-01,10,10,0,21.0,210.0,delivered
SO-2810,1,CUST-0012,SE-1560,WH-WEST,2025-09-11,2025-09-24,2025-09-26,2025-09-24,2025-09-26,10,10,0,19.0,190.0,delivered
SO-2811,1,CUST-0168,SE-2100,WH-WEST,2025-08-21,2025-08-27,2025-08-28,2025-08-27,2025-08-28,5,5,0,16.0,80.0,delivered
SO-2812,1,CUST-0155,HF-1995,WH-SOUTH,2025-08-19,2025-08-27,2025-08-27,2025-08-24,2025-08-28,50,50,0,31.0,1550.0,delivered
SO-2813,1,CUST-0128,PB-5320,WH-EAST,2025-09-03,2025-09-06,2025-09-08,2025-09-06,2025-09-08,5,5,0,23.0,115.0,delivered
SO-2814,1,CUST-0056,HF-2760,WH-WEST,2025-08-19,2025-08-27,2025-08-27,2025-08-27,2025-08-27,50,50,0,164.0,8200.0,delivered
SO-2815,1,CUST-0089,IF-9090,WH-WEST,2025-08-15,2025-08-19,2025-08-19,2025-08-17,2025-08-18,10,10,0,7.0,70.0,delivered
SO-2816,1,CUST-0320,SE-3195,WH-CENTRAL,2025-09-09,2025-09-16,2025-09-16,2025-09-15,2025-09-15,100,100,0,12.0,1200.0,delivered
SO-2817,1,CUST-0320,HF-2320,WH-WEST,2025-09-10,2025-09-17,2025-09-17,2025-09-15,2025-09-17,50,50,0,32.0,1600.0,delivered
SO-2818,1,CUST-0305,PB-4890,WH-SOUTH,2025-09-08,2025-09-15,2025-09-15,2025-09-14,2025-09-15,50,50,0,45.0,2250.0,delivered
SO-2819,1,CUST-0215,PB-6370,WH-WEST,2025-08-29,2025-09-08,2025-09-09,2025-09-09,2025-09-09,10,10,0,8.7,87.0,delivered
SO-2820,1,CUST-0089,EC-2160,WH-WEST,2025-09-04,2025-09-15,2025-09-17,2025-09-17,2025-09-17,25,25,0,12.5,312.5,delivered
SO-2821,1,CUST-0012,HF-1340,WH-SOUTH,2025-09-05,2025-09-15,2025-09-16,2025-09-16,2025-09-15,25,25,0,14.5,362.5,delivered
SO-2822,1,CUST-0134,PB-5215,WH-WEST,2025-09-12,2025-09-20,2025-09-20,2025-09-20,2025-09-20,10,10,0,14.5,145.0,delivered
SO-2823,1,CUST-0215,PB-5540,WH-CENTRAL,2025-08-29,2025-09-04,2025-09-04,2025-09-01,2025-09-03,100,100,0,5.7,570.0,delivered
SO-2824,1,CUST-0245,SE-2650,WH-EAST,2025-08-22,2025-08-29,2025-08-29,2025-08-26,2025-08-29,10,10,0,325.0,3250.0,delivered
SO-2825,1,CUST-0620,SE-1455,WH-WEST,2025-08-28,2025-09-05,2025-09-07,2025-09-07,2025-09-06,5,5,0,31.0,155.0,delivered
SO-2826,1,CUST-0168,HF-2100,WH-CENTRAL,2025-09-08,2025-09-20,2025-09-21,2025-09-19,2025-09-21,5,5,0,10.5,52.5,delivered
SO-2827,1,CUST-0171,EC-1580,WH-EAST,2025-08-21,2025-09-02,2025-09-04,2025-09-02,2025-09-04,5,5,0,37.0,185.0,delivered
SO-2828,1,CUST-0520,IF-7455,WH-CENTRAL,2025-08-22,2025-09-05,2025-09-05,2025-09-04,2025-09-05,50,50,0,31.0,1550.0,delivered
SO-2829,1,CUST-0168,IF-7010,WH-SOUTH,2025-09-04,2025-09-18,2025-09-20,2025-09-19,2025-09-21,25,25,0,54.0,1350.0,delivered
SO-2830,1,CUST-0038,SE-1675,WH-WEST,2025-09-05,2025-09-09,2025-09-09,2025-09-06,2025-09-08,5,5,0,48.0,240.0,delivered
SO-2831,1,CUST-0650,HF-2320,WH-WEST,2025-09-02,2025-09-09,2025-09-09,2025-09-07,2025-09-08,25,25,0,32.0,800.0,delivered
SO-2832,1,CUST-0012,EC-1580,WH-CENTRAL,2025-09-03,2025-09-15,2025-09-15,2025-09-15,2025-09-15,5,5,0,37.0,185.0,delivered
SO-2833,1,CUST-0500,PB-4675,WH-CENTRAL,2025-09-08,2025-09-15,2025-09-15,2025-09-15,2025-09-15,50,50,0,37.0,1850.0,delivered
SO-2834,1,CUST-0038,PB-4125,WH-CENTRAL,2025-09-04,2025-09-07,2025-09-07,2025-09-07,2025-09-08,25,25,0,57.0,1425.0,delivered
SO-2835,1,CUST-0440,HF-1340,WH-WEST,2025-09-01,2025-09-13,2025-09-13,2025-09-11,2025-09-14,50,50,0,14.5,725.0,delivered
SO-2836,1,CUST-0440,PB-6280,WH-WEST,2025-09-11,2025-09-21,2025-09-21,2025-09-19,2025-09-21,25,25,0,24.0,600.0,delivered
SO-2837,1,CUST-0171,IF-9280,WH-WEST,2025-09-01,2025-09-15,2025-09-15,2025-09-13,2025-09-16,5,5,0,28.0,140.0,delivered
SO-2838,1,CUST-0365,SE-1560,WH-EAST,2025-09-04,2025-09-13,2025-09-14,2025-09-11,2025-09-14,25,25,0,19.0,475.0,delivered
SO-2839,1,CUST-0740,IF-8320,WH-CENTRAL,2025-08-21,2025-09-04,2025-09-04,2025-09-02,2025-09-04,5,5,0,11.0,55.0,delivered
SO-2840,1,CUST-0041,EC-3517,WH-CENTRAL,2025-09-09,2025-09-16,2025-09-16,2025-09-14,2025-09-16,5,5,0,73.0,365.0,delivered
SO-2841,1,CUST-0155,SE-3195,WH-WEST,2025-09-11,2025-09-20,2025-09-21,2025-09-18,2025-09-21,10,10,0,12.0,120.0,delivered
SO-2842,1,CUST-0089,SE-3280,WH-WEST,2025-09-05,2025-09-08,2025-09-08,2025-09-06,2025-09-09,5,5,0,58.0,290.0,delivered
SO-2843,1,CUST-0580,EC-2160,WH-SOUTH,2025-09-11,2025-09-22,2025-09-24,2025-09-24,2025-09-24,10,10,0,12.5,125.0,delivered
SO-2844,1,CUST-0510,PB-6090,WH-CENTRAL,2025-08-22,2025-08-29,2025-08-29,2025-08-28,2025-08-29,5,5,0,97.0,485.0,delivered
SO-2845,1,CUST-0041,IF-7995,WH-EAST,2025-08-22,2025-09-03,2025-09-05,2025-09-04,2025-09-05,10,10,0,24.0,240.0,delivered
SO-2846,1,CUST-0610,SE-1010,WH-SOUTH,2025-08-28,2025-09-03,2025-09-03,2025-08-31,2025-09-03,5,5,0,54.0,270.0,delivered
SO-2847,1,CUST-0134,EC-1455,WH-EAST,2025-09-05,2025-09-11,2025-09-12,2025-09-10,2025-09-12,25,25,0,26.0,650.0,delivered
SO-2848,1,CUST-0025,EC-1205,WH-EAST,2025-08-15,2025-08-20,2025-08-21,2025-08-19,2025-08-21,100,100,0,48.0,4800.0,delivered
SO-2849,1,CUST-0128,IF-9460,WH-SOUTH,2025-08-14,2025-08-27,2025-08-27,2025-08-25,2025-08-27,5,5,0,12.0,60.0,delivered
SO-2850,1,CUST-0067,PB-4560,WH-WEST,2025-08-25,2025-09-05,2025-09-05,2025-09-03,2025-09-04,100,100,0,20.0,2000.0,delivered
SO-2851,1,CUST-0410,SE-3090,WH-CENTRAL,2025-09-03,2025-09-16,2025-09-16,2025-09-16,2025-09-16,100,100,0,26.0,2600.0,delivered
SO-2852,1,CUST-0041,SE-1560,WH-SOUTH,2025-09-11,2025-09-23,2025-09-25,2025-09-23,2025-09-26,5,5,0,19.0,95.0,delivered
SO-2853,1,CUST-0102,PB-6280,WH-CENTRAL,2025-08-20,2025-08-24,2025-08-24,2025-08-24,2025-08-24,50,50,0,24.0,1200.0,delivered
SO-2854,1,CUST-0025,IF-9195,WH-SOUTH,2025-09-12,2025-09-21,2025-09-22,2025-09-20,2025-09-22,10,10,0,13.5,135.0,delivered
SO-2855,1,CUST-0200,IF-7995,WH-CENTRAL,2025-09-04,2025-09-12,2025-09-14,2025-09-14,2025-09-15,25,25,0,24.0,600.0,delivered
SO-2856,1,CUST-0305,HF-2980,WH-CENTRAL,2025-09-04,2025-09-18,2025-09-18,2025-09-15,2025-09-19,10,10,0,4.7,47.0,delivered
